millis,Back Left, Back Right, Front Left, Front Right
2302, -3.15, 0.00, -0.07, -0.01
2333, -3.56, -0.12, -0.18, 0.10
2341, -5.07, -0.15, -0.25, 0.10
2347, -9.04, -0.15, -0.25, 0.03
2352, -9.04, -0.15, -0.33, 0.03
2357, -9.04, -0.11, -0.33, 0.05
2363, -13.56, -0.11, -0.42, 0.05
2368, -13.56, -0.16, -0.42, 0.11
2374, -16.58, -0.16, -0.40, 0.11
2379, -16.58, -0.10, -0.40, 0.11
2385, -15.34, -0.10, -0.34, 0.11
2391, -15.34, 0.01, -0.34, 0.07
2397, -16.16, 0.01, -0.37, 0.07
2402, -16.16, 0.10, -0.37, -0.01
2410, -14.11, 0.11, -0.56, -0.01
2416, -13.01, 0.11, -0.56, -0.14
2421, -13.01, 0.11, -0.74, -0.14
2427, -11.23, 0.08, -0.74, -0.38
2433, -11.23, 0.08, -0.83, -0.38
2439, -8.63, 0.11, -0.83, -0.57
2444, -8.63, 0.11, -0.86, -0.57
2450, -6.58, 0.05, -0.86, -0.76
2455, -6.58, 0.05, -0.94, -0.76
2461, -2.60, -0.01, -0.94, -1.08
2466, -2.60, -0.01, -0.91, -1.08
2472, 5.07, 0.04, -0.91, -1.30
2478, 5.07, 0.04, -0.76, -1.30
2483, 11.10, 0.00, -0.76, -1.23
2489, 11.10, 0.00, -0.68, -1.23
2495, 15.21, 0.01, -0.68, -1.34
2502, 15.21, 0.01, -0.50, -1.34
2509, 20.68, -0.04, -0.50, -1.42
2514, 20.68, -0.12, -0.50, -1.42
2521, 29.18, -0.12, -0.55, -1.38
2527, 32.05, -0.18, -0.55, -1.35
2532, 32.05, -0.18, -0.45, -1.35
2538, 36.16, -0.12, -0.45, -1.46
2543, 36.16, -0.12, -0.25, -1.46
2548, 40.41, -0.12, -0.25, -1.46
2554, 40.41, -0.15, -0.03, -1.54
2560, 45.62, -0.15, -0.03, -1.54
2566, 45.62, -0.25, 0.04, -1.61
2571, 50.96, -0.25, 0.04, -1.61
2577, 50.96, -0.27, 0.08, -1.60
2582, 52.47, -0.27, 0.08, -1.60
2591, 52.47, -0.42, 0.10, -1.61
2597, 52.47, -0.42, 0.10, -1.54
2603, 52.47, -0.42, 0.18, -1.54
2609, 51.78, -0.37, 0.18, -1.45
2614, 51.78, -0.37, 0.30, -1.45
2620, 53.56, -0.23, 0.30, -1.46
2625, 53.56, -0.23, 0.30, -1.46
2630, 54.66, -0.23, 0.30, -1.39
2635, 54.66, -0.23, 0.38, -1.39
2641, 52.33, -0.23, 0.38, -1.17
2647, 52.33, -0.27, 0.55, -1.17
2653, 50.68, -0.27, 0.55, -0.89
