millis,Back Left, Back Right, Front Left, Front Right
2505, -4.52, 0.16, 0.07, 0.15
2535, -7.53, 0.11, 0.10, 0.31
2543, -10.27, -0.04, 0.07, 0.31
2548, -15.21, -0.04, 0.07, 0.41
2554, -15.21, -0.05, 0.11, 0.41
2560, -18.77, -0.05, 0.11, 0.30
2565, -18.77, -0.05, 0.11, 0.30
2571, -23.84, 0.19, 0.11, 0.23
2576, -23.84, 0.19, 0.27, 0.23
2581, -23.84, 0.35, 0.27, 0.40
2587, -28.90, 0.35, 0.44, 0.40
2592, -28.90, 0.48, 0.44, 0.67
2597, -33.56, 0.48, 0.45, 0.67
2604, -33.56, 0.57, 0.45, 0.75
2609, -42.19, 0.57, 0.38, 0.75
2618, -46.44, 0.74, 0.27, 0.76
2623, -46.44, 0.74, 0.27, 0.76
2629, -52.33, 0.75, 0.50, 0.97
2634, -52.33, 0.75, 0.50, 0.97
2640, -57.26, 0.67, 0.46, 1.16
2646, -57.26, 0.67, 0.46, 1.16
2652, -59.18, 0.82, 0.15, 1.09
2657, -59.18, 0.82, 0.15, 1.09
2663, -60.68, 0.90, -0.04, 0.91
2668, -60.68, 0.90, -0.04, 0.91
2674, -59.45, 0.91, 0.05, 1.00
2679, -59.45, 0.91, 0.05, 1.00
2685, -55.62, 0.90, 0.10, 1.20
2691, -55.62, 0.90, 0.10, 1.20
2697, -53.97, 1.00, 0.15, 1.35
2702, -53.97, 1.00, 0.15, 1.35
2711, -56.44, 0.89, 0.19, 1.31
2717, -51.37, 0.55, 0.19, 1.23
2722, -51.37, 0.55, 0.22, 1.23
2728, -49.18, 0.27, 0.22, 1.24
2734, -49.18, 0.27, 0.16, 1.24
2739, -47.40, 0.27, 0.16, 1.23
2744, -47.40, 0.34, 0.04, 1.23
2750, -46.16, 0.34, 0.04, 1.05
2755, -46.16, 0.56, -0.07, 1.05
2760, -46.16, 0.56, -0.07, 1.17
2766, -38.36, 0.48, 0.07, 1.17
2771, -38.36, 0.48, 0.07, 1.26
2778, -31.64, 0.29, 0.14, 1.26
2783, -31.64, 0.29, 0.14, 1.06
2789, -24.79, 0.22, -0.10, 1.06
2794, -24.79, 0.22, -0.10, 1.06
2803, -21.10, 0.11, -0.18, 0.87
2809, -20.41, 0.11, 0.07, 0.86
2814, -20.41, -0.14, 0.07, 0.86
2820, -19.86, -0.14, 0.07, 0.82
2825, -19.86, -0.31, 0.29, 0.82
2831, -15.62, -0.31, 0.29, 0.50
2836, -15.62, -0.30, 0.12, 0.50
2842, -14.38, -0.30, 0.12, 0.33
2847, -14.38, -0.15, 0.01, 0.33
2853, -16.16, -0.15, 0.01, 0.40
2859, -16.16, -0.20, 0.16, 0.40
2864, -14.52, -0.20, 0.16, 0.57
2870, -14.52, -0.20, 0.27, 0.57
2875, -14.79, -0.20, 0.27, 0.60
2881, -14.79, -0.12, 0.12, 0.60
2889, -14.79, -0.12, -0.01, 0.45
2894, -14.79, -0.03, -0.01, 0.45
2900, -12.33, -0.03, 0.07, 0.29
2906, -12.33, 0.10, 0.07, 0.29
2912, -13.29, 0.10, 0.18, 0.23
2917, -13.29, 0.20, 0.18, 0.23
2923, -14.93, 0.20, 0.19, 0.27
2928, -14.93, 0.41, 0.19, 0.27
2934, -11.23, 0.41, 0.35, 0.08
