millis,Back Left, Back Right, Front Left, Front Right
2353, -2.47, 0.10, 0.00, -0.04
2383, -4.52, 0.16, -0.01, 0.10
2392, -6.85, 0.16, -0.15, 0.08
2397, -6.85, 0.34, -0.15, 0.08
2403, -13.42, 0.34, -0.11, 0.07
2408, -13.42, 0.48, -0.11, 0.07
2414, -19.45, 0.48, -0.08, 0.00
2419, -19.45, 0.61, -0.08, 0.00
2425, -24.52, 0.61, -0.15, -0.03
2430, -24.52, 0.63, -0.15, -0.03
2437, -29.59, 0.63, -0.34, -0.01
2442, -29.59, 0.60, -0.34, -0.01
2448, -35.34, 0.60, -0.52, 0.05
2453, -35.34, 0.49, -0.52, 0.05
2461, -40.27, 0.49, -0.49, 0.10
2467, -47.81, 0.44, -0.59, 0.10
2472, -47.81, 0.44, -0.59, 0.14
2479, -55.07, 0.40, -0.53, 0.14
2484, -55.07, 0.40, -0.53, 0.27
2490, -59.86, 0.46, -0.44, 0.27
2495, -59.86, 0.46, -0.44, 0.30
2501, -59.86, 0.48, -0.29, 0.30
2506, -59.86, 0.48, -0.29, 0.35
2512, -59.86, 0.42, -0.15, 0.35
2518, -59.86, 0.42, -0.15, 0.49
2524, -59.04, 0.46, -0.01, 0.49
2529, -59.04, 0.46, -0.01, 0.46
2535, -58.63, 0.49, 0.10, 0.46
2540, -58.63, 0.49, 0.10, 0.46
2546, -54.93, 0.41, 0.16, 0.46
2553, -54.93, 0.41, 0.16, 0.42
2560, -53.84, 0.44, 0.23, 0.29
2566, -53.84, 0.44, 0.23, 0.29
2572, -49.86, 0.48, 0.37, 0.27
2577, -49.86, 0.48, 0.37, 0.27
2583, -44.79, 0.49, 0.45, 0.29
2588, -44.79, 0.49, 0.45, 0.29
2594, -43.15, 0.45, 0.49, 0.35
2599, -43.15, 0.45, 0.49, 0.35
2606, -40.68, 0.30, 0.48, 0.42
2611, -40.68, 0.30, 0.48, 0.42
2617, -36.16, 0.26, 0.46, 0.55
2622, -36.16, 0.26, 0.46, 0.55
2628, -32.47, 0.26, 0.44, 0.45
2633, -32.47, 0.26, 0.44, 0.45
2639, -28.22, 0.42, 0.53, 0.42
2648, -20.41, 0.42, 0.56, 0.42
2653, -20.41, 0.64, 0.56, 0.53
2659, -12.05, 0.64, 0.64, 0.53
2664, -12.05, 0.74, 0.64, 0.55
2670, -6.71, 0.74, 0.78, 0.55
2675, -6.71, 0.79, 0.78, 0.45
2680, -5.07, 0.79, 0.74, 0.45
2685, -5.07, 0.79, 0.74, 0.38
2692, -3.01, 0.79, 0.74, 0.38
2697, -3.01, 0.72, 0.74, 0.41
2702, -4.79, 0.72, 0.74, 0.41
2707, -4.79, 0.79, 0.65, 0.41
2712, -4.79, 0.79, 0.65, 0.52
2717, -4.11, 0.79, 0.65, 0.52
2722, -4.11, 0.79, 0.65, 0.46
2727, -5.34, 0.79, 0.68, 0.46
2738, -8.22, 0.64, 0.68, 0.46
2743, -8.22, 0.46, 0.68, 0.52
