millis,Back Left, Back Right, Front Left, Front Right
2487, -1.51, -0.22, -0.03, -0.04
2516, -4.79, -0.10, -0.04, -0.08
2525, -4.79, 0.07, 0.00, -0.04
2531, -10.82, 0.07, -0.08, -0.04
2536, -10.82, 0.14, -0.08, 0.05
2541, -16.85, 0.14, -0.18, 0.05
2547, -16.85, 0.20, -0.18, 0.10
2552, -18.08, 0.20, -0.19, 0.10
2558, -18.08, 0.07, -0.19, 0.04
2564, -21.23, 0.07, -0.14, 0.04
2569, -21.23, -0.07, -0.14, 0.15
2575, -25.62, -0.07, -0.25, 0.15
2580, -25.62, -0.12, -0.25, 0.19
2586, -30.82, -0.12, -0.14, 0.19
2594, -30.82, -0.07, -0.14, 0.16
2599, -33.84, -0.07, -0.05, 0.16
2606, -33.84, 0.01, -0.05, 0.19
2611, -37.26, 0.01, -0.16, 0.19
2616, -37.26, 0.05, -0.16, 0.25
2622, -40.27, 0.05, -0.10, 0.25
2627, -40.27, 0.01, -0.10, 0.44
2633, -40.55, 0.01, -0.16, 0.44
2638, -40.55, 0.03, -0.16, 0.53
2644, -43.15, 0.03, -0.33, 0.53
2650, -43.15, 0.15, -0.33, 0.45
2656, -44.66, 0.15, -0.38, 0.45
2661, -44.66, 0.37, -0.38, 0.41
2666, -43.56, 0.37, -0.34, 0.41
2672, -43.56, 0.49, -0.34, 0.30
2677, -45.34, 0.49, -0.27, 0.30
2686, -46.71, 0.41, -0.27, 0.37
2692, -46.71, 0.41, -0.14, 0.37
2698, -47.26, 0.48, -0.14, 0.45
2703, -47.26, 0.48, -0.12, 0.45
2709, -45.34, 0.55, -0.12, 0.60
2714, -45.34, 0.55, -0.08, 0.60
2720, -42.19, 0.48, -0.08, 0.63
2725, -42.19, 0.48, -0.15, 0.63
2732, -39.59, 0.30, -0.15, 0.57
2737, -39.59, 0.30, -0.23, 0.57
2743, -34.52, 0.22, -0.23, 0.55
2748, -34.52, 0.22, -0.31, 0.55
2754, -30.82, 0.22, -0.31, 0.55
2759, -30.82, 0.22, -0.42, 0.55
2764, -26.85, 0.22, -0.42, 0.61
2774, -26.85, 0.18, -0.44, 0.68
2780, -24.38, 0.10, -0.26, 0.68
2785, -24.38, 0.10, -0.26, 0.80
2791, -23.15, 0.12, -0.30, 0.80
2796, -23.15, 0.12, -0.30, 0.94
2802, -20.96, 0.04, -0.33, 0.94
2807, -20.96, 0.04, -0.33, 0.98
2813, -15.07, -0.01, -0.18, 0.98
2819, -15.07, -0.01, -0.18, 0.98
2825, -7.67, 0.05, -0.20, 0.98
2830, -7.67, 0.05, -0.20, 0.80
2835, -5.89, 0.25, -0.10, 0.80
2841, -5.89, 0.25, -0.10, 0.78
2847, -4.11, 0.34, 0.05, 0.78
2852, -4.11, 0.34, 0.05, 0.82
2857, 0.14, 0.34, 0.11, 0.82
2866, -1.10, 0.26, 0.11, 0.90
2871, -1.10, 0.12, 0.19, 0.90
2877, -0.55, 0.12, 0.19, 0.87
2882, -0.55, 0.04, 0.11, 0.87
2887, -0.68, 0.04, 0.11, 0.76
2892, -0.68, 0.04, 0.10, 0.76
2897, -0.68, 0.12, 0.10, 0.64
2903, -1.37, 0.12, 0.04, 0.64
2909, -1.37, 0.22, 0.04, 0.60
2914, -2.05, 0.22, 0.08, 0.60
2919, -2.05, 0.30, 0.08, 0.60
2925, 1.51, 0.30, 0.15, 0.59
