millis,Back Left, Back Right, Front Left, Front Right
2333, -1.23, 0.04, -0.19, 0.12
2367, -9.04, 0.18, -0.25, 0.18
2376, -12.05, 0.15, -0.03, 0.23
2381, -12.05, 0.15, 0.12, 0.23
2387, -18.77, 0.08, 0.12, 0.15
2393, -18.77, 0.08, 0.18, 0.15
2399, -25.21, 0.05, 0.18, 0.16
2404, -25.21, 0.05, 0.23, 0.16
2410, -29.73, 0.14, 0.23, 0.30
2415, -29.73, 0.14, 0.22, 0.30
2420, -33.15, 0.14, 0.22, 0.48
2425, -33.15, 0.29, 0.22, 0.48
2432, -36.85, 0.29, 0.33, 0.65
2437, -36.85, 0.16, 0.33, 0.65
2443, -40.82, 0.16, 0.33, 0.59
2451, -40.82, 0.07, 0.29, 0.35
2456, -47.53, -0.10, 0.29, 0.35
2462, -55.07, -0.10, 0.12, 0.23
2467, -55.07, -0.26, 0.12, 0.23
2472, -55.07, -0.26, -0.11, 0.23
2478, -62.05, -0.26, -0.11, 0.27
2484, -62.05, -0.40, -0.19, 0.27
2489, -64.11, -0.40, -0.19, 0.27
2495, -64.11, -0.59, -0.33, 0.27
2500, -62.47, -0.59, -0.33, 0.34
2506, -62.47, -0.65, -0.41, 0.34
2511, -62.05, -0.65, -0.41, 0.33
2518, -62.05, -0.61, -0.33, 0.33
2523, -64.93, -0.61, -0.33, 0.27
2529, -64.93, -0.68, -0.31, 0.27
2537, -65.07, -0.49, -0.31, 0.20
2543, -65.07, -0.49, -0.42, 0.23
2549, -65.07, -0.38, -0.42, 0.23
2555, -59.73, -0.38, -0.49, 0.27
2561, -59.73, -0.30, -0.49, 0.27
2567, -54.93, -0.30, -0.57, 0.42
2572, -54.93, -0.29, -0.57, 0.42
2578, -53.70, -0.29, -0.53, 0.55
2583, -53.70, -0.31, -0.44, 0.55
2589, -47.95, -0.31, -0.44, 0.65
2594, -47.95, -0.31, -0.44, 0.65
2600, -44.25, -0.44, -0.44, 0.71
2606, -44.25, -0.44, -0.44, 0.71
2612, -36.99, -0.45, -0.53, 0.64
2617, -36.99, -0.45, -0.53, 0.64
2626, -28.49, -0.56, -0.64, 0.50
2632, -25.34, -0.67, -0.91, 0.42
2638, -25.34, -0.67, -0.91, 0.42
2644, -22.88, -0.68, -1.19, 0.40
2650, -22.88, -0.68, -1.19, 0.40
2656, -18.77, -0.61, -1.11, 0.49
2661, -18.77, -0.61, -1.11, 0.49
2667, -10.82, -0.45, -1.01, 0.65
2672, -10.82, -0.45, -1.01, 0.65
2678, -8.22, -0.38, -1.05, 0.79
2683, -8.22, -0.38, -1.05, 0.79
2690, -4.79, -0.35, -0.97, 0.86
2695, -4.79, -0.35, -0.97, 0.86
2701, -5.89, -0.33, -0.91, 0.76
2706, -5.89, -0.33, -0.91, 0.76
2715, -8.36, -0.25, -1.06, 0.80
2720, -9.73, -0.25, -1.28, 0.80
2725, -9.73, -0.22, -1.28, 0.89
2732, -13.15, -0.22, -1.16, 0.89
2738, -13.15, -0.34, -1.16, 0.98
2743, -17.67, -0.34, -0.98, 0.98
2749, -17.67, -0.45, -0.98, 1.04
2754, -15.48, -0.45, -0.80, 1.04
2760, -15.48, -0.52, -0.80, 0.95
2765, -13.29, -0.52, -0.76, 0.95
2771, -13.29, -0.55, -0.76, 0.80
2777, -12.60, -0.55, -0.87, 0.80
2783, -12.60, -0.52, -0.87, 0.60
2788, -9.86, -0.52, -0.93, 0.60
2793, -9.86, -0.34, -0.93, 0.50
2799, -6.58, -0.34, -0.85, 0.50
2807, -6.58, -0.31, -0.85, 0.46
2812, -8.77, -0.31, -0.76, 0.46
2819, -8.77, -0.35, -0.76, 0.34
2824, -12.05, -0.35, -0.75, 0.34
2830, -12.05, -0.25, -0.75, 0.20
2835, -9.86, -0.25, -0.70, 0.20
2840, -9.86, -0.11, -0.70, -0.03
2846, -7.40, -0.11, -0.59, -0.03
2851, -7.40, -0.03, -0.59, -0.05
2857, -4.79, -0.03, -0.53, -0.05
2863, -4.79, 0.01, -0.53, -0.10
2869, -4.93, 0.01, -0.55, -0.10
2874, -4.93, -0.10, -0.55, -0.16
2879, -4.52, -0.10, -0.49, -0.16
2885, -4.52, 0.05, -0.49, -0.20
2893, -4.11, 0.05, -0.48, -0.25
2899, -4.11, 0.20, -0.45, -0.25
2905, -0.68, 0.20, -0.45, -0.25
2910, -0.68, 0.16, -0.31, -0.25
2916, 5.07, 0.16, -0.31, -0.25
2921, 5.07, 0.03, -0.25, -0.27
2926, 7.81, 0.03, -0.25, -0.27
2931, 7.81, -0.12, -0.25, -0.37
2937, 10.55, -0.12, -0.34, -0.37
2942, 10.55, -0.12, -0.34, -0.37
2949, 11.37, -0.15, -0.49, -0.37
2954, 11.37, -0.15, -0.49, -0.31
2960, 12.74, -0.18, -0.63, -0.31
2965, 12.74, -0.18, -0.63, -0.19
2971, 12.88, -0.19, -0.68, -0.19
2979, 12.88, -0.30, -0.82, -0.04
2985, 10.96, -0.30, -0.82, -0.05
2991, 10.96, -0.46, -0.93, -0.05
2997, 6.85, -0.46, -0.93, 0.01
3002, 6.85, -0.60, -1.15, 0.01
3007, 4.66, -0.60, -1.15, 0.18
3013, 4.66, -0.50, -1.15, 0.18
3018, 3.15, -0.50, -1.15, 0.18
3023, 3.15, -0.50, -1.15, 0.23
3028, 0.82, -0.46, -1.15, 0.23
3035, 0.82, -0.46, -1.08, 0.37
3040, -0.55, -0.46, -1.08, 0.37
3045, -0.55, -0.46, -1.01, 0.41
3051, -1.78, -0.64, -1.01, 0.41
3056, -1.78, -0.64, -1.08, 0.45
3062, -6.16, -0.79, -1.08, 0.45
3069, -6.16, -0.79, -1.05, 0.44
3076, -6.71, -0.82, -1.05, 0.35
3082, -9.18, -0.82, -1.00, 0.35
3087, -9.18, -0.85, -1.00, 0.34
3093, -13.84, -0.85, -1.05, 0.34
3098, -13.84, -0.89, -1.05, 0.37
3104, -16.85, -0.89, -1.12, 0.37
3109, -16.85, -1.02, -1.12, 0.41
3116, -20.82, -1.02, -1.15, 0.41
3121, -20.82, -0.98, -1.15, 0.33
3127, -20.55, -0.98, -1.19, 0.33
3132, -20.55, -0.90, -1.19, 0.33
3137, -20.55, -0.90, -1.19, 0.34
3143, -19.73, -0.90, -1.19, 0.34
3148, -19.73, -0.90, -1.20, 0.27
3158, -21.51, -0.83, -1.28, 0.16
3164, -24.11, -0.71, -1.28, 0.16
3169, -24.11, -0.71, -1.31, 0.11
3174, -27.12, -0.71, -1.31, 0.11
3180, -27.12, -0.64, -1.24, 0.01
3185, -30.14, -0.64, -1.24, 0.01
3191, -30.14, -0.57, -1.09, 0.03
3196, -31.64, -0.57, -1.09, 0.03
3203, -31.64, -0.50, -1.00, -0.11
3208, -32.60, -0.50, -1.00, -0.11
3214, -32.60, -0.41, -1.01, -0.23
3219, -31.64, -0.41, -1.01, -0.23
3225, -31.64, -0.40, -1.02, -0.15
3230, -27.81, -0.40, -1.02, -0.15
3236, -27.81, -0.38, -1.05, -0.04
3245, -25.89, -0.50, -1.05, -0.04
3252, -25.62, -0.50, -1.15, 0.07
3257, -25.62, -0.52, -1.15, 0.07
3263, -23.42, -0.52, -1.19, 0.12
3268, -23.42, -0.55, -1.19, 0.12
3274, -22.05, -0.55, -1.23, 0.20
3279, -22.05, -0.65, -1.23, 0.20
3286, -16.85, -0.65, -1.23, 0.35
3292, -16.85, -0.61, -1.23, 0.41
3297, -7.81, -0.61, -1.21, 0.41
3302, -7.81, -0.61, -1.21, 0.41
3308, -5.21, -0.56, -1.20, 0.48
3313, -5.21, -0.56, -1.20, 0.48
3319, -5.34, -0.42, -1.19, 0.50
3324, -5.34, -0.42, -1.19, 0.50
3334, -4.66, -0.27, -1.17, 0.53
3340, -4.66, -0.29, -1.30, 0.44
3345, -3.15, -0.29, -1.30, 0.44
3350, -3.15, -0.19, -1.27, 0.27
3356, -3.42, -0.19, -1.27, 0.27
3361, -3.42, -0.10, -1.08, 0.15
3367, -4.52, -0.10, -1.08, 0.15
3373, -4.52, -0.10, -1.08, 0.08
3378, -3.56, -0.15, -1.08, 0.08
3384, -3.56, -0.15, -1.05, 0.11
3389, 0.68, -0.23, -1.05, 0.11
3394, 0.68, -0.23, -0.97, 0.07
3400, 3.70, -0.18, -0.97, 0.07
3405, 3.70, -0.18, -0.98, 0.07
3410, 4.52, -0.19, -0.98, 0.07
3417, 4.52, -0.19, -1.02, 0.18
3425, 3.84, -0.38, -1.02, 0.18
3430, 3.84, -0.38, -0.97, 0.23
3435, 3.97, -0.49, -0.97, 0.23
3440, 3.97, -0.49, -0.95, 0.22
3446, -0.55, -0.45, -0.95, 0.22
3451, -0.55, -0.45, -0.95, 0.18
3458, -2.88, -0.34, -0.95, 0.18
3463, -2.88, -0.34, -0.91, 0.20
3468, -5.75, -0.23, -0.91, 0.20
3474, -5.75, -0.23, -0.94, 0.27
3479, -8.90, -0.15, -0.94, 0.27
3484, -8.90, -0.15, -1.04, 0.22
3490, -10.82, -0.16, -1.04, 0.22
3495, -10.82, -0.16, -1.15, 0.00
3502, -10.96, -0.20, -1.15, 0.00
3511, -12.60, -0.20, -1.24, -0.26
3516, -12.60, -0.26, -1.24, -0.26
3522, -8.08, -0.26, -1.17, -0.35
3527, -8.08, -0.35, -1.17, -0.35
3533, -8.08, -0.35, -1.05, -0.20
3538, -8.08, -0.38, -1.05, -0.20
3545, -8.90, -0.38, -0.93, -0.12
3550, -8.90, -0.23, -0.93, -0.12
3556, -4.93, -0.23, -0.87, -0.05
3561, -4.93, -0.18, -0.87, -0.05
3567, -1.10, -0.18, -0.90, 0.03
3572, -1.10, -0.14, -0.90, 0.03
3578, 3.70, -0.14, -0.97, -0.10
3584, 3.70, -0.14, -0.97, -0.10
3590, 5.34, -0.14, -1.09, -0.04
3598, 5.34, -0.14, -1.17, 0.00
3603, 4.66, -0.14, -1.17, 0.00
3608, 4.66, -0.22, -1.12, 0.00
3613, 2.47, -0.22, -1.12, -0.01
3619, 2.47, -0.25, -1.08, -0.01
3624, -1.51, -0.25, -1.08, -0.20
3631, -1.51, -0.25, -1.05, -0.20
3636, -4.38, -0.25, -1.05, -0.37
3642, -4.38, -0.25, -1.08, -0.37
3647, -3.56, -0.25, -1.08, -0.40
3652, -3.56, -0.40, -1.06, -0.40
3658, 0.27, -0.40, -1.06, -0.31
3663, 0.27, -0.55, -1.09, -0.31
3670, 5.62, -0.55, -1.09, -0.27
3675, 5.62, -0.65, -1.11, -0.27
3680, 4.79, -0.65, -1.11, -0.25
3689, 4.79, -0.71, -1.06, -0.26
3694, -2.05, -0.71, -1.06, -0.26
3699, -2.05, -0.65, -0.95, -0.26
3705, -9.45, -0.65, -0.95, -0.07
3710, -9.45, -0.60, -0.90, -0.07
3717, -12.33, -0.60, -0.90, 0.03
3722, -12.33, -0.59, -0.95, 0.03
3727, -13.56, -0.59, -0.95, 0.01
3733, -13.56, -0.50, -0.95, 0.01
3738, -13.29, -0.50, -0.95, -0.08
3744, -13.29, -0.42, -0.94, -0.08
3749, -16.30, -0.42, -0.94, 0.03
3756, -16.30, -0.50, -1.02, 0.03
3761, -18.08, -0.50, -1.02, 0.15
3767, -18.08, -0.61, -1.02, 0.15
3775, -17.67, -0.61, -1.02, 0.16
3782, -20.68, -0.76, -0.79, 0.30
3787, -20.68, -0.76, -0.59, 0.30
3793, -23.56, -0.78, -0.59, 0.30
3799, -23.56, -0.78, -0.48, 0.30
3805, -22.88, -0.74, -0.48, 0.45
3810, -22.88, -0.74, -0.41, 0.45
3816, -19.59, -0.68, -0.41, 0.71
3821, -19.59, -0.68, -0.33, 0.71
3827, -16.99, -0.67, -0.33, 0.79
3832, -16.99, -0.67, -0.18, 0.79
3838, -14.25, -0.63, -0.18, 0.80
3844, -14.25, -0.63, -0.03, 0.80
3850, -10.68, -0.55, -0.03, 0.95
3855, -10.68, -0.55, -0.05, 0.95
3864, -8.08, -0.42, -0.05, 1.00
3869, -8.08, -0.42, -0.05, 1.00
3875, -6.85, -0.46, -0.05, 0.93
3880, -5.75, -0.46, -0.12, 0.93
3886, -5.75, -0.49, -0.12, 0.86
3892, -1.92, -0.49, -0.16, 0.86
3897, -1.92, -0.48, -0.16, 0.89
3902, -1.92, -0.48, -0.10, 0.89
