millis,Back Left, Back Right, Front Left, Front Right
2425, -3.01, -0.07, 0.00, 0.00
2455, -3.01, -0.11, 0.00, 0.05
2463, -9.86, -0.12, -0.07, 0.16
2468, -15.48, -0.10, -0.07, 0.16
2475, -15.48, -0.10, 0.07, 0.25
2480, -17.81, 0.03, 0.07, 0.25
2486, -17.81, 0.03, 0.11, 0.16
2491, -21.37, 0.00, 0.11, 0.16
2496, -21.37, 0.00, 0.03, 0.23
2501, -25.21, 0.00, 0.03, 0.23
2507, -25.21, -0.05, -0.03, 0.34
2512, -27.81, -0.05, -0.03, 0.34
2519, -27.81, -0.03, 0.01, 0.35
2524, -29.04, -0.03, 0.01, 0.35
2533, -29.04, 0.05, 0.10, 0.38
2539, -30.96, 0.10, 0.11, 0.38
2544, -36.99, 0.10, 0.11, 0.38
2550, -36.99, 0.03, 0.14, 0.40
2555, -43.84, 0.03, 0.14, 0.40
2561, -43.84, 0.03, 0.20, 0.40
2566, -43.84, -0.16, 0.20, 0.37
2571, -44.93, -0.16, 0.15, 0.37
2577, -44.93, -0.29, 0.15, 0.34
2582, -41.92, -0.29, 0.18, 0.34
2588, -41.92, -0.22, 0.18, 0.40
2593, -42.05, -0.22, 0.27, 0.40
2598, -42.05, -0.31, 0.27, 0.50
2605, -43.56, -0.31, 0.31, 0.50
2610, -43.56, -0.30, 0.31, 0.52
2616, -45.07, -0.30, 0.37, 0.52
2625, -47.12, -0.23, 0.37, 0.53
2630, -47.12, -0.23, 0.20, 0.53
2635, -47.53, -0.20, 0.20, 0.53
2641, -47.53, -0.20, 0.12, 0.44
2647, -45.21, -0.20, 0.12, 0.44
2653, -45.21, -0.20, -0.11, 0.38
2658, -43.56, -0.11, -0.11, 0.38
2663, -43.56, -0.11, -0.31, 0.38
2669, -41.51, 0.10, -0.31, 0.27
2674, -41.51, 0.10, -0.52, 0.27
2680, -36.44, 0.26, -0.52, 0.15
2685, -36.44, 0.26, -0.60, 0.15
2692, -31.10, 0.30, -0.60, 0.08
2697, -31.10, 0.30, -0.45, 0.08
2702, -31.10, 0.33, -0.45, 0.15
2707, -24.52, 0.33, -0.31, 0.15
2716, -20.00, 0.31, -0.31, 0.10
2721, -20.00, 0.31, -0.40, 0.16
2727, -17.12, 0.31, -0.40, 0.16
