millis,Back Left, Back Right, Front Left, Front Right
2394, -7.12, 0.07, -0.04, 0.00
2423, -13.01, 0.18, -0.23, -0.14
2432, -11.92, 0.18, -0.44, -0.12
2438, -11.92, 0.19, -0.68, -0.18
2444, -16.58, 0.35, -0.68, -0.18
2449, -16.58, 0.35, -0.89, -0.12
2455, -20.27, 0.50, -0.89, -0.12
2460, -20.27, 0.50, -1.05, -0.14
2465, -19.32, 0.50, -1.05, -0.14
2471, -19.32, 0.61, -1.21, -0.26
2477, -23.29, 0.61, -1.21, -0.26
2483, -23.29, 0.75, -1.28, -0.42
2488, -27.40, 0.75, -1.28, -0.42
2494, -27.40, 0.97, -1.38, -0.53
2502, -33.15, 0.97, -1.38, -0.53
2508, -33.15, 0.97, -1.38, -0.52
2513, -40.41, 0.80, -1.38, -0.52
2520, -40.41, 0.80, -1.30, -0.53
2525, -47.81, 0.63, -1.30, -0.53
2531, -47.81, 0.63, -1.34, -0.53
2536, -55.21, 0.61, -1.34, -0.53
2542, -55.21, 0.61, -1.24, -0.45
2547, -58.49, 0.61, -1.24, -0.45
2553, -58.49, 0.52, -1.02, -0.53
2558, -56.99, 0.52, -1.02, -0.53
2564, -56.99, 0.49, -0.89, -0.70
2570, -55.48, 0.49, -0.89, -0.70
2575, -55.48, 0.53, -0.82, -0.74
2581, -55.75, 0.53, -0.82, -0.74
2590, -54.79, 0.29, -0.85, -0.74
2596, -54.79, 0.12, -0.83, -0.60
2601, -54.79, 0.12, -0.83, -0.60
2608, -54.79, 0.23, -0.85, -0.65
2613, -48.63, 0.23, -0.85, -0.65
2619, -48.63, 0.44, -0.94, -0.57
2624, -42.88, 0.44, -0.94, -0.57
2629, -42.88, 0.44, -1.02, -0.56
2635, -41.10, 0.53, -1.02, -0.56
2641, -41.10, 0.60, -0.94, -0.48
2647, -36.03, 0.60, -0.94, -0.48
2652, -36.03, 0.60, -0.82, -0.48
2658, -33.01, 0.42, -0.82, -0.59
2663, -33.01, 0.42, -0.68, -0.59
2669, -29.18, 0.34, -0.68, -0.64
2677, -29.18, 0.34, -0.55, -0.64
2682, -23.97, 0.34, -0.55, -0.64
2689, -23.97, 0.23, -0.49, -0.59
2694, -20.55, 0.23, -0.49, -0.59
2700, -20.55, 0.10, -0.40, -0.53
2705, -21.10, 0.10, -0.40, -0.53
2710, -21.10, 0.10, -0.44, -0.46
2716, -20.00, 0.10, -0.44, -0.46
2721, -20.00, 0.10, -0.59, -0.38
2727, -16.03, 0.26, -0.59, -0.38
2733, -16.03, 0.26, -0.49, -0.37
2739, -13.42, 0.41, -0.49, -0.37
2744, -13.42, 0.41, -0.63, -0.45
2750, -15.07, 0.53, -0.63, -0.45
2755, -15.07, 0.53, -0.85, -0.52
2764, -18.90, 0.56, -0.93, -0.52
2770, -21.51, 0.49, -0.93, -0.44
2776, -21.51, 0.49, -1.00, -0.44
2782, -19.86, 0.42, -1.00, -0.41
2787, -19.86, 0.42, -1.08, -0.41
2793, -20.14, 0.60, -1.08, -0.50
2798, -20.14, 0.60, -1.13, -0.50
2804, -23.01, 0.74, -1.13, -0.67
2809, -23.01, 0.74, -1.15, -0.67
2816, -23.42, 0.70, -1.15, -0.80
2821, -23.42, 0.70, -1.12, -0.80
2826, -25.62, 0.70, -1.12, -0.98
2832, -25.62, 0.53, -1.02, -0.98
2837, -25.07, 0.53, -1.02, -1.12
2843, -25.07, 0.44, -0.94, -1.12
2851, -24.66, 0.46, -0.94, -1.20
2857, -24.66, 0.46, -1.01, -1.20
2863, -28.63, 0.60, -1.01, -1.20
2869, -28.63, 0.60, -1.11, -1.21
2874, -32.88, 0.56, -1.11, -1.21
2880, -32.88, 0.56, -1.12, -1.15
2885, -34.79, 0.50, -1.12, -1.15
2891, -34.79, 0.50, -1.09, -1.13
2896, -32.33, 0.48, -1.09, -1.13
2903, -32.33, 0.48, -1.17, -1.17
2908, -25.48, 0.61, -1.17, -1.17
2914, -25.48, 0.61, -1.34, -1.26
2920, -20.41, 0.74, -1.39, -1.26
2925, -17.12, 0.74, -1.39, -1.26
2931, -17.12, 0.72, -1.39, -1.26
2939, -12.74, 0.72, -1.39, -1.30
2946, -12.74, 0.64, -1.19, -1.30
2951, -7.53, 0.64, -1.19, -1.21
2956, -7.53, 0.48, -1.04, -1.21
2962, -5.34, 0.48, -1.04, -0.98
2967, -5.34, 0.45, -1.01, -0.98
2973, -1.23, 0.45, -1.01, -1.00
2978, -1.23, 0.49, -0.91, -1.00
2983, -0.68, 0.49, -0.91, -1.16
2990, -0.68, 0.57, -0.79, -1.16
2995, -2.88, 0.57, -0.79, -1.16
3000, -2.88, 0.57, -0.67, -1.16
3006, -0.41, 0.64, -0.67, -1.05
3011, -0.41, 0.64, -0.63, -1.05
3017, -3.15, 0.74, -0.63, -0.86
3022, -3.15, 0.74, -0.55, -0.86
3031, -2.60, 0.80, -0.55, -0.68
3037, -2.60, 0.90, -0.40, -0.68
3042, -7.12, 0.90, -0.40, -0.67
3047, -7.12, 0.90, -0.34, -0.67
3053, -10.82, 0.90, -0.34, -0.50
3058, -10.82, 0.90, -0.33, -0.50
3064, -7.26, 0.85, -0.33, -0.31
3069, -7.26, 0.85, -0.33, -0.31
3076, -6.44, 0.75, -0.33, -0.33
3081, -6.44, 0.75, -0.37, -0.33
3087, -7.26, 0.85, -0.37, -0.35
3092, -7.26, 0.85, -0.33, -0.35
3098, -12.74, 0.89, -0.33, -0.30
3103, -12.74, 0.89, -0.19, -0.30
3109, -15.34, 0.90, -0.19, -0.30
3119, -15.07, 0.76, 0.03, -0.27
3124, -15.07, 0.76, 0.18, -0.27
3130, -18.22, 0.67, 0.18, -0.22
3135, -18.22, 0.67, 0.10, -0.22
3141, -23.70, 0.63, 0.10, -0.22
3146, -23.70, 0.63, 0.04, -0.22
3152, -28.36, 0.63, 0.04, -0.46
3158, -28.36, 0.63, -0.03, -0.46
3164, -25.48, 0.68, -0.03, -0.57
3169, -25.48, 0.68, -0.11, -0.57
3174, -27.95, 0.68, -0.11, -0.57
3180, -27.95, 0.78, -0.31, -0.57
3185, -31.64, 0.78, -0.31, -0.57
3191, -31.64, 0.83, -0.34, -0.53
3196, -29.18, 0.83, -0.34, -0.53
3205, -29.18, 0.93, -0.29, -0.57
3211, -30.55, 1.00, -0.29, -0.61
3216, -30.55, 1.00, -0.22, -0.61
3222, -28.08, 0.98, -0.22, -0.61
3227, -28.08, 0.98, -0.26, -0.61
3233, -26.58, 1.00, -0.26, -0.52
3238, -26.58, 1.00, -0.38, -0.52
3245, -23.01, 0.90, -0.38, -0.49
3250, -23.01, 0.90, -0.45, -0.49
3255, -18.22, 0.90, -0.45, -0.68
3261, -18.22, 0.85, -0.52, -0.68
3266, -18.90, 0.85, -0.52, -0.80
3272, -18.90, 0.76, -0.55, -0.80
3277, -15.89, 0.76, -0.55, -0.64
3283, -15.89, 0.67, -0.57, -0.64
3293, -10.41, 0.56, -0.76, -0.72
3298, -5.62, 0.56, -0.76, -0.72
