millis,Back Left, Back Right, Front Left, Front Right
3266, -5.75, -0.46, 0.35, 0.46
3273, -5.75, -0.46, 0.40, 0.46
3279, -7.95, -0.60, 0.40, 0.59
3284, -7.95, -0.60, 0.45, 0.59
3291, -9.73, -0.53, 0.45, 0.63
3296, -9.73, -0.53, 0.63, 0.63
3302, -9.86, -0.59, 0.63, 0.56
3307, -9.86, -0.59, 0.71, 0.56
3312, -8.22, -0.68, 0.71, 0.50
3318, -8.22, -0.68, 0.68, 0.50
3323, -5.89, -0.71, 0.68, 0.59
3330, -5.89, -0.71, 0.67, 0.59
3335, -6.30, -0.59, 0.67, 0.57
3341, -6.30, -0.59, 0.72, 0.57
3346, -7.81, -0.42, 0.72, 0.53
3352, -7.81, -0.42, 0.87, 0.53
3358, -6.16, -0.56, 0.87, 0.52
3366, -4.38, -0.56, 0.82, 0.44
3372, -4.38, -0.72, 0.78, 0.44
3378, -4.66, -0.72, 0.78, 0.31
3383, -4.66, -0.82, 0.83, 0.31
3388, -7.12, -0.82, 0.83, 0.11
3394, -7.12, -0.79, 0.90, 0.11
3399, -7.12, -0.79, 0.90, 0.04
3404, -7.12, -0.67, 0.91, 0.04
3409, -8.22, -0.67, 0.91, 0.04
3415, -8.22, -0.67, 0.91, 0.05
3420, -8.22, -0.67, 0.94, 0.05
3425, -8.63, -0.67, 0.94, -0.01
3431, -8.63, -0.80, 0.94, -0.01
3436, -5.48, -0.80, 0.94, -0.19
3441, -5.48, -0.83, 0.93, -0.19
3451, -2.60, -0.87, 0.94, -0.18
3457, -2.74, -0.87, 0.94, -0.14
3462, -2.74, -0.78, 0.95, -0.14
3468, -4.25, -0.78, 0.95, -0.23
3473, -4.25, -0.78, 1.08, -0.23
3479, -4.25, -0.60, 1.08, -0.37
3484, -4.25, -0.60, 1.24, -0.37
3490, -3.29, -0.46, 1.24, -0.38
3495, -3.29, -0.46, 1.32, -0.38
3502, -3.97, -0.48, 1.32, -0.31
3507, -3.97, -0.48, 1.36, -0.31
3512, -5.34, -0.48, 1.36, -0.31
3517, -5.34, -0.48, 1.46, -0.25
3523, -5.07, -0.45, 1.46, -0.25
3528, -5.07, -0.45, 1.51, -0.20
3534, -0.68, -0.48, 1.51, -0.20
3542, -0.68, -0.48, 1.35, -0.07
3548, 2.60, -0.63, 1.35, 0.00
3553, 2.60, -0.63, 1.19, 0.00
3559, -1.92, -0.75, 1.19, 0.04
3564, -1.92, -0.75, 1.13, 0.04
3570, -5.89, -0.52, 1.13, 0.08
3575, -5.89, -0.52, 1.06, 0.08
3580, -7.26, -0.31, 1.06, 0.25
3587, -7.26, -0.31, 0.97, 0.25
3593, -6.71, -0.16, 0.97, 0.37
3598, -6.71, -0.16, 0.94, 0.37
3604, -6.44, -0.07, 0.94, 0.38
3609, -6.44, -0.07, 0.89, 0.38
3614, -4.93, -0.05, 0.89, 0.42
3619, -4.93, -0.05, 0.85, 0.42
3625, -4.79, 0.11, 0.85, 0.42
3633, -4.79, 0.11, 0.87, 0.57
3639, -7.95, 0.20, 0.87, 0.71
3644, -7.95, 0.20, 0.95, 0.71
3650, -12.60, 0.14, 0.95, 0.80
3655, -12.60, 0.14, 0.97, 0.80
3661, -15.89, 0.12, 0.97, 0.83
3666, -15.89, 0.12, 0.90, 0.83
3673, -15.89, 0.15, 0.90, 0.94
3678, -15.89, 0.15, 0.80, 0.94
3684, -16.16, 0.04, 0.80, 1.06
3689, -16.16, 0.04, 0.74, 1.06
3695, -19.32, 0.18, 0.74, 1.19
3700, -19.32, 0.18, 0.74, 1.19
3706, -20.27, 0.38, 0.74, 1.20
3712, -20.27, 0.38, 0.72, 1.20
3718, -20.27, 0.49, 0.72, 1.09
3726, -20.68, 0.49, 0.70, 1.09
3731, -20.68, 0.52, 0.56, 0.95
3737, -21.78, 0.52, 0.56, 0.95
3742, -21.78, 0.46, 0.65, 0.85
3748, -21.78, 0.46, 0.65, 0.85
3753, -21.78, 0.57, 0.70, 0.63
3760, -22.74, 0.57, 0.70, 0.63
3765, -22.74, 0.65, 0.70, 0.52
3771, -22.74, 0.65, 0.70, 0.52
3776, -22.74, 0.63, 0.65, 0.64
3782, -20.68, 0.63, 0.65, 0.64
3787, -20.68, 0.65, 0.52, 0.63
3792, -18.90, 0.65, 0.52, 0.63
3799, -18.90, 0.65, 0.46, 0.52
3804, -18.90, 0.59, 0.46, 0.52
3809, -18.90, 0.59, 0.67, 0.41
3817, -20.96, 0.49, 0.67, 0.41
3823, -20.96, 0.37, 0.79, 0.33
3828, -22.47, 0.37, 0.79, 0.33
3834, -22.47, 0.19, 0.79, 0.26
3840, -23.56, 0.19, 0.79, 0.26
3845, -23.56, 0.19, 0.83, 0.25
3850, -23.01, 0.11, 0.83, 0.25
3856, -23.01, 0.11, 0.90, 0.31
3861, -20.55, 0.11, 0.90, 0.31
3867, -20.55, 0.11, 0.98, 0.23
3872, -17.53, 0.14, 0.98, 0.23
3877, -17.53, 0.14, 0.87, -0.01
3884, -17.40, 0.08, 0.87, -0.01
3889, -17.40, 0.08, 0.72, -0.20
3895, -15.21, 0.10, 0.72, -0.20
3900, -15.21, 0.10, 0.61, -0.37
3908, -12.88, -0.04, 0.61, -0.37
3913, -12.88, -0.04, 0.65, -0.35
3919, -13.29, -0.25, 0.65, -0.35
3924, -13.29, -0.25, 0.71, -0.33
3931, -16.58, -0.34, 0.71, -0.33
3936, -16.58, -0.34, 0.82, -0.30
3942, -18.90, -0.29, 0.82, -0.30
3947, -18.90, -0.29, 0.68, -0.10
3953, -18.90, -0.22, 0.68, -0.10
