millis,Back Left, Back Right, Front Left, Front Right
2518, -0.96, -0.11, -0.07, 0.08
2551, -4.79, -0.16, -0.08, 0.16
2560, -5.75, -0.16, 0.03, 0.30
2566, -6.16, -0.34, 0.03, 0.30
2571, -6.16, -0.34, 0.03, 0.33
2577, -9.04, -0.46, 0.11, 0.33
2582, -9.04, -0.46, 0.11, 0.30
2588, -13.42, -0.49, 0.30, 0.30
2593, -13.42, -0.49, 0.30, 0.25
2599, -13.97, -0.57, 0.40, 0.25
2605, -13.97, -0.57, 0.40, 0.19
2611, -13.84, -0.72, 0.46, 0.19
2616, -13.84, -0.72, 0.46, 0.23
2622, -14.93, -0.71, 0.53, 0.23
2627, -14.93, -0.71, 0.53, 0.23
2636, -19.45, -0.60, 0.72, 0.18
2642, -20.96, -0.60, 0.82, 0.18
2648, -20.96, -0.59, 0.82, 0.10
2654, -26.03, -0.59, 0.76, 0.10
2659, -26.03, -0.60, 0.76, -0.03
2665, -31.10, -0.60, 0.67, -0.03
2670, -31.10, -0.68, 0.67, -0.15
2676, -29.04, -0.68, 0.63, -0.15
2681, -29.04, -0.75, 0.63, -0.29
2688, -27.67, -0.75, 0.50, -0.29
2693, -27.67, -0.78, 0.50, -0.40
2699, -28.63, -0.78, 0.41, -0.40
2704, -28.63, -0.80, 0.41, -0.40
2710, -28.22, -0.80, 0.48, -0.40
2715, -28.22, -0.94, 0.48, -0.40
2723, -25.07, -0.94, 0.55, -0.37
2729, -25.07, -1.02, 0.55, -0.37
2735, -20.55, -1.02, 0.71, -0.37
2741, -20.55, -1.04, 0.71, -0.34
2746, -18.49, -1.04, 0.76, -0.34
2751, -18.49, -0.95, 0.76, -0.40
2757, -17.81, -0.95, 0.64, -0.40
2762, -17.81, -0.95, 0.64, -0.64
2768, -15.62, -0.95, 0.67, -0.64
2774, -15.62, -0.79, 0.67, -0.83
2780, -13.15, -0.79, 0.56, -0.83
2785, -13.15, -0.67, 0.56, -1.01
2791, -11.64, -0.67, 0.46, -1.01
2796, -11.64, -0.64, 0.46, -1.01
2802, -7.67, -0.64, 0.44, -1.01
2810, -7.67, -0.59, 0.44, -0.95
2816, -2.88, -0.59, 0.26, -0.95
2822, -2.88, -0.60, 0.26, -1.08
2827, 2.47, -0.60, 0.08, -1.08
2832, 2.47, -0.60, 0.08, -1.02
2838, 3.97, -0.60, -0.08, -1.02
2843, 3.97, -0.61, -0.08, -0.86
2848, 4.11, -0.61, -0.16, -0.86
2854, 4.11, -0.68, -0.16, -0.74
2860, 5.89, -0.68, -0.15, -0.74
2866, 5.89, -0.76, -0.15, -0.65
2871, 8.36, -0.76, -0.05, -0.65
2876, 8.36, -0.89, -0.05, -0.60
2882, 11.23, -0.89, -0.04, -0.60
2887, 11.23, -0.97, -0.04, -0.50
2895, 13.01, -0.97, 0.05, -0.50
2903, 13.97, -1.04, 0.22, -0.46
2908, 13.97, -1.04, 0.22, -0.46
2914, 12.19, -1.12, 0.31, -0.44
2919, 12.19, -1.12, 0.31, -0.44
2925, 11.23, -0.93, 0.23, -0.46
2930, 11.23, -0.93, 0.23, -0.46
2936, 12.47, -0.86, -0.03, -0.56
2941, 12.47, -0.86, -0.03, -0.56
2948, 13.56, -0.85, -0.08, -0.68
2953, 13.56, -0.85, -0.08, -0.68
2959, 15.62, -0.72, 0.04, -0.67
2964, 15.62, -0.72, 0.04, -0.67
2970, 17.12, -0.72, -0.11, -0.53
2975, 17.12, -0.72, -0.11, -0.53
2981, 16.99, -0.70, -0.19, -0.49
2990, 16.99, -0.70, -0.19, -0.48
2996, 17.40, -0.74, -0.31, -0.48
3001, 17.40, -0.74, -0.31, -0.52
3007, 17.26, -0.87, -0.29, -0.52
3012, 17.26, -0.87, -0.29, -0.52
3018, 12.05, -0.89, -0.03, -0.52
3023, 12.05, -0.89, -0.03, -0.41
3030, 8.22, -0.75, 0.14, -0.41
3035, 8.22, -0.75, 0.14, -0.55
3041, 10.00, -0.68, 0.19, -0.55
3046, 10.00, -0.68, 0.19, -0.60
3052, 11.37, -0.63, 0.20, -0.60
3057, 11.37, -0.63, 0.20, -0.60
3063, 11.23, -0.61, 0.31, -0.60
3068, 11.23, -0.61, 0.31, -0.52
3077, 11.10, -0.60, 0.41, -0.52
3083, 7.95, -0.60, 0.49, -0.44
3088, 7.95, -0.46, 0.49, -0.44
3094, 4.25, -0.46, 0.61, -0.55
3099, 4.25, -0.38, 0.61, -0.55
3105, 0.55, -0.38, 0.61, -0.65
3110, 0.55, -0.30, 0.61, -0.65
