millis,Back Left, Back Right, Front Left, Front Right
2597, -4.93, -0.01, 0.12, 0.07
2627, -6.71, 0.10, 0.22, 0.04
2634, -2.60, 0.10, 0.22, 0.04
2640, -2.60, 0.15, 0.05, 0.00
2644, -3.84, 0.15, 0.05, 0.00
2651, -3.84, 0.12, -0.14, -0.07
2656, -8.08, 0.12, -0.14, -0.07
2662, -8.08, 0.10, -0.05, 0.00
2667, -11.10, 0.10, -0.05, 0.00
2672, -11.10, 0.12, 0.01, 0.14
2677, -15.34, 0.12, 0.01, 0.14
2683, -15.34, 0.15, 0.03, 0.15
2689, -23.42, 0.15, 0.03, 0.15
2694, -23.42, 0.15, 0.20, 0.20
2700, -29.45, 0.15, 0.20, 0.20
2708, -29.45, 0.12, 0.30, 0.11
2713, -35.62, 0.12, 0.30, 0.11
2719, -35.62, 0.11, 0.31, 0.08
2724, -38.36, 0.11, 0.31, 0.08
2729, -38.36, 0.10, 0.35, 0.23
2736, -40.41, 0.10, 0.35, 0.23
2741, -40.41, 0.10, 0.52, 0.50
2746, -39.04, 0.18, 0.52, 0.50
2752, -39.04, 0.18, 0.56, 0.67
2757, -40.68, 0.27, 0.56, 0.67
2762, -40.68, 0.27, 0.45, 0.80
2768, -42.60, 0.38, 0.45, 0.80
2774, -42.60, 0.38, 0.37, 0.89
2779, -44.11, 0.31, 0.37, 0.89
2785, -44.11, 0.31, 0.25, 0.72
2790, -41.51, 0.25, 0.25, 0.72
2798, -41.51, 0.25, 0.25, 0.70
2804, -38.22, 0.35, 0.25, 0.70
2809, -38.22, 0.35, 0.25, 0.68
2816, -36.44, 0.49, 0.10, 0.68
2821, -36.44, 0.49, 0.10, 0.64
2827, -34.52, 0.48, 0.07, 0.64
2832, -34.52, 0.48, 0.07, 0.67
2838, -34.52, 0.50, 0.29, 0.67
2843, -34.52, 0.50, 0.29, 0.64
2849, -33.70, 0.52, 0.41, 0.64
2854, -33.70, 0.52, 0.41, 0.57
2861, -28.08, 0.45, 0.55, 0.57
2866, -28.08, 0.45, 0.55, 0.53
2872, -24.52, 0.41, 0.67, 0.53
2877, -24.52, 0.41, 0.67, 0.46
2883, -23.56, 0.44, 0.68, 0.46
2891, -19.86, 0.44, 0.68, 0.29
2896, -19.86, 0.45, 0.59, 0.12
2902, -15.89, 0.45, 0.59, 0.12
2908, -15.89, 0.63, 0.50, 0.10
2913, -8.77, 0.63, 0.50, 0.10
2918, -8.77, 0.64, 0.49, 0.10
2923, -8.77, 0.64, 0.49, 0.05
2929, -0.96, 0.68, 0.45, 0.05
2934, -0.96, 0.68, 0.45, 0.07
2939, 3.97, 0.83, 0.27, 0.07
2945, 3.97, 0.83, 0.27, -0.11
2951, 2.33, 0.71, 0.14, -0.11
2956, 2.33, 0.71, 0.14, -0.25
2962, 2.47, 0.67, 0.11, -0.25
2967, 2.47, 0.67, 0.11, -0.29
2973, 5.89, 0.67, 0.00, -0.29
2980, 11.51, 0.67, 0.00, -0.29
2987, 11.51, 0.68, -0.03, -0.29
2992, 13.70, 0.68, -0.03, -0.25
2998, 13.70, 0.68, 0.01, -0.25
3003, 12.88, 0.68, 0.01, -0.19
3008, 12.88, 0.55, 0.08, -0.19
3013, 12.88, 0.55, 0.08, -0.15
3019, 13.97, 0.55, 0.25, -0.15
3024, 13.97, 0.55, 0.25, -0.26
3030, 14.79, 0.55, 0.34, -0.26
3036, 14.79, 0.63, 0.34, -0.33
3041, 13.97, 0.63, 0.30, -0.33
3046, 13.97, 0.71, 0.30, -0.25
3052, 10.14, 0.71, 0.31, -0.25
3057, 10.14, 0.74, 0.31, -0.15
3063, 9.32, 0.74, 0.29, -0.15
3072, 11.10, 0.74, 0.29, -0.25
3077, 11.10, 0.74, 0.20, -0.25
3083, 11.10, 0.61, 0.20, -0.30
3088, 11.10, 0.61, 0.23, -0.30
3093, 11.10, 0.46, 0.23, -0.27
3098, 10.14, 0.46, 0.34, -0.27
3104, 10.14, 0.44, 0.34, -0.30
3109, 5.62, 0.44, 0.46, -0.30
3115, 5.62, 0.44, 0.46, -0.31
3121, 3.42, 0.44, 0.49, -0.31
3126, 3.42, 0.50, 0.49, -0.16
3131, 1.10, 0.50, 0.57, -0.16
3136, 1.10, 0.48, 0.57, -0.14
3142, 3.97, 0.48, 0.72, -0.14
3147, 3.97, 0.40, 0.72, -0.15
3152, 9.59, 0.40, 0.82, -0.15
3161, 9.59, 0.55, 0.82, -0.08
3166, 10.82, 0.55, 0.93, -0.08
3172, 10.82, 0.49, 0.93, -0.15
3177, 5.89, 0.49, 0.98, -0.15
3182, 5.89, 0.41, 0.98, -0.19
3188, -1.92, 0.41, 0.97, -0.19
3193, -1.92, 0.55, 0.97, -0.20
3198, -2.88, 0.55, 0.91, -0.20
3204, -2.88, 0.55, 0.91, -0.15
3210, -2.60, 0.87, 0.87, -0.15
3215, -2.60, 0.87, 0.87, -0.10
3221, -4.25, 1.09, 0.82, -0.10
3226, -4.25, 1.09, 0.82, 0.08
3231, -6.03, 1.00, 0.79, 0.08
3236, -6.03, 1.00, 0.79, 0.08
3241, -4.38, 0.93, 0.79, 0.14
3247, -4.38, 0.93, 0.89, 0.14
3256, 0.82, 0.87, 0.97, 0.01
3261, 0.82, 0.87, 0.97, 0.01
3266, 5.07, 0.97, 0.98, 0.01
3271, 5.07, 0.97, 0.98, 0.18
3277, 6.44, 1.05, 1.06, 0.18
3282, 6.44, 1.05, 1.06, 0.29
3289, 11.10, 1.17, 1.05, 0.29
3294, 11.10, 1.17, 1.05, 0.30
3300, 14.66, 1.31, 1.04, 0.30
3305, 14.66, 1.31, 1.04, 0.42
3311, 18.08, 1.35, 0.97, 0.42
3316, 18.08, 1.35, 0.97, 0.60
3322, 13.56, 1.27, 0.86, 0.60
3328, 13.56, 1.27, 0.86, 0.64
3334, 9.32, 1.30, 0.78, 0.64
3339, 9.32, 1.30, 0.78, 0.64
3348, 3.84, 1.35, 0.72, 0.52
3353, -0.96, 1.35, 0.72, 0.55
3358, -0.96, 1.41, 0.74, 0.55
3363, -0.96, 1.41, 0.74, 0.68
3369, -0.96, 1.23, 0.74, 0.68
3375, 2.74, 1.23, 0.74, 0.85
3380, 2.74, 1.21, 0.78, 0.85
3385, 2.74, 1.21, 0.78, 0.86
3391, 7.40, 1.20, 0.85, 0.86
3396, 7.40, 1.20, 0.85, 0.97
3401, 5.89, 1.20, 0.80, 0.97
3406, 5.89, 1.19, 0.80, 0.97
3411, 5.07, 1.19, 0.79, 1.04
3417, 5.07, 1.13, 0.79, 1.04
3422, 6.03, 1.13, 0.79, 0.94
3428, 6.03, 1.15, 0.78, 0.94
3433, 5.62, 1.15, 0.78, 0.82
3441, 5.62, 1.27, 0.79, 0.76
3446, 2.05, 1.27, 0.70, 0.76
3451, 2.05, 1.16, 0.70, 0.76
3458, -1.10, 1.16, 0.48, 0.76
3463, -1.10, 0.98, 0.48, 0.76
