millis,Back Left, Back Right, Front Left, Front Right
2630, -2.47, 0.07, -0.04, 0.07
2661, -3.42, 0.05, -0.05, 0.15
2669, -3.56, 0.01, -0.05, 0.16
2674, -3.56, 0.05, -0.05, 0.16
2680, -5.62, 0.05, -0.19, 0.19
2685, -7.81, 0.01, -0.19, 0.19
2691, -7.81, 0.01, -0.38, 0.45
2696, -7.81, 0.04, -0.38, 0.45
2702, -10.27, 0.04, -0.64, 0.46
2707, -10.27, 0.04, -0.64, 0.46
2713, -15.62, 0.00, -0.74, 0.35
2718, -15.62, 0.00, -0.74, 0.35
2724, -20.68, 0.07, -0.78, 0.22
2729, -20.68, 0.07, -0.78, 0.22
2736, -24.66, 0.20, -0.83, 0.18
2744, -30.41, 0.31, -0.83, 0.18
2749, -30.41, 0.31, -0.91, 0.30
2755, -38.36, 0.35, -0.91, 0.30
2760, -38.36, 0.35, -0.95, 0.41
2766, -41.78, 0.33, -0.95, 0.41
2771, -41.78, 0.33, -0.95, 0.44
2778, -40.82, 0.48, -0.95, 0.44
2783, -40.82, 0.48, -0.93, 0.44
2788, -37.95, 0.48, -0.93, 0.44
2794, -37.95, 0.48, -0.98, 0.50
2799, -36.99, 0.48, -0.98, 0.50
2805, -36.99, 0.45, -1.17, 0.52
2810, -42.60, 0.45, -1.17, 0.52
2817, -42.60, 0.46, -1.36, 0.52
2822, -45.75, 0.46, -1.36, 0.52
2830, -45.75, 0.38, -1.36, 0.56
2837, -43.15, 0.27, -1.36, 0.57
2842, -43.15, 0.27, -1.36, 0.57
2848, -39.04, 0.16, -1.35, 0.63
2853, -39.04, 0.16, -1.35, 0.63
2860, -39.45, 0.14, -1.30, 0.60
2865, -39.45, 0.14, -1.30, 0.60
2871, -41.10, 0.10, -1.38, 0.50
2876, -41.10, 0.10, -1.38, 0.50
2882, -40.55, 0.10, -1.26, 0.41
2887, -40.55, 0.15, -1.26, 0.41
2893, -39.73, 0.15, -1.20, 0.19
2898, -39.73, 0.12, -1.20, 0.19
2905, -34.38, 0.12, -1.26, -0.01
2910, -34.38, 0.03, -1.26, -0.01
2916, -27.95, 0.03, -1.24, -0.07
2924, -22.05, 0.01, -1.24, -0.07
2930, -22.05, 0.10, -1.31, 0.03
2935, -16.85, 0.10, -1.31, 0.03
2940, -16.85, 0.18, -1.32, 0.04
2947, -13.56, 0.18, -1.32, 0.04
2952, -13.56, 0.16, -1.34, -0.01
2958, -11.51, 0.16, -1.34, -0.01
2963, -11.51, 0.16, -1.38, 0.03
2968, -10.96, 0.16, -1.38, 0.03
2974, -10.96, 0.16, -1.50, 0.04
2979, -15.62, 0.19, -1.50, 0.04
2985, -15.62, 0.19, -1.69, 0.07
2991, -18.77, 0.20, -1.69, 0.07
2996, -18.77, 0.20, -1.77, 0.01
3002, -17.67, 0.34, -1.77, 0.01
3010, -17.67, 0.35, -1.56, -0.05
3016, -13.29, 0.35, -1.41, -0.05
3021, -13.29, 0.37, -1.41, -0.08
3027, -13.84, 0.37, -1.51, -0.08
3033, -13.84, 0.55, -1.51, -0.26
3039, -14.38, 0.55, -1.60, -0.26
3044, -14.38, 0.55, -1.60, -0.34
3050, -12.05, 0.61, -1.64, -0.34
3055, -12.05, 0.61, -1.64, -0.37
3061, -9.04, 0.61, -1.56, -0.37
3066, -9.04, 0.61, -1.56, -0.48
3073, -5.21, 0.61, -1.51, -0.48
3078, -5.21, 0.61, -1.51, -0.50
3084, -0.55, 0.67, -1.62, -0.50
3089, -0.55, 0.67, -1.62, -0.38
3098, 3.70, 0.68, -1.58, -0.25
3103, -0.14, 0.68, -1.58, -0.25
3108, -0.14, 0.68, -1.38, -0.16
3115, -3.84, 0.75, -1.38, -0.16
3120, -3.84, 0.75, -1.26, -0.11
3126, -4.79, 0.72, -1.26, -0.11
3131, -4.79, 0.72, -1.19, -0.08
3137, -8.22, 0.64, -1.19, -0.08
3142, -8.22, 0.64, -1.13, -0.14
3147, -8.90, 0.64, -1.13, -0.14
3152, -8.90, 0.56, -1.02, -0.14
